ID SECTOR,CODIGO SUBSECTOR,CODIGO SECTOR
46,admi,other
543,air,other
38,apar,tran
106,ardep,pers
35,arranj,serv
148,arte,cult
48,assoc,other
51,audiov,cult
20,auto,tran
34,avir,quot
3,banca,serv
40,bar,host
116,basar,llar
29,benz,tran
53,bibl,other
136,bici,other
58,bode,quot
67,bomb,other
135,bus,other
23,cafe,host
122,camp,other
62,caps,other
25,carn,quot
538,cate,other
31,ccom,quot
69,ccom2,other
113,cine,cult
63,civi,other
110,colma,quot
43,come,quot
539,comer,other
72,comu,other
11,conc,tran
49,cong,quot
119,cons,serv
118,constr,serv
50,corr,serv
1,descon,other
112,disco,host
562,eco,other
41,educ,other
120,educp,serv
114,elect,llar
90,energ,other
557,eng,other
142,equip,other
146,erot,altr
61,esgl,other
145,esot,altr
121,espo,serv
5,estanc,altr
16,farm,altr
103,ferret,llar
138,espop,serv
27,flor,altr
33,forn,quot
32,foto,cult
24,fruit,quot
94,golo,other
64,hosp,other
47,hote,host
542,impr,other
568,inelec,other
104,infant,pers
39,info,altr
570,infust,other
10,inmo,serv
566,inprim,other
569,intrans,other
9,joie,pers
80,juz,other
59,kiosk,altr
7,llar,llar
124,locala,other
42,localb,localb
131,localt,other
125,localv,other
55,locu,serv
87,logis,other
105,lote,serv
88,manuf,other
117,maqui,other
28,masco,serv
45,mate,llar
150,mensa,serv
52,merc,quot
44,merce,pers
89,metal,other
139,metr,other
556,minor,other
8,moda,pers
14,movi,serv
130,naut,other
129,nauv,other
57,obre,other
108,ocio,cult
154,ofer,other
19,ofic,serv
18,opti,pers
6,pape,cult
75,parc,other
15,past,quot
76,patr,other
36,peix,quot
4,pelu,serv
107,perfu,pers
530,pindu,other
70,poli,other
544,port,other
91,quimi,other
151,rapi,host
71,reg,other
149,rega,altr
66,renf,other
143,rent,tran
153,rentat,tran
531,report,other
60,resi,other
2,rest,host
13,saba,pers
30,salud,serv
555,segur,other
12,tall,tran
123,taller,other
140,taxi,other
545,territori1,other
546,territori2,other
547,territori3,other
548,territori4,other
549,territori5,other
550,territori6,other
551,territori7,other
552,territori8,other
553,territori9,other
537,textil,other
532,ticcons,other
535,ticinter,other
541,ticinve,other
534,ticsoft,other
533,tictelec,other
22,tint,serv
141,tram,other
559,tronic,other
17,variet,altr
21,viat,serv
26,xarc,quot
571,ccom3,other
54,insdepo,serv
127,nauind,other
